video_id,title,views,comment_author,comment_text,comment_likes
L1QlVr686Bg,What actually prints to the console and why? Go!,5356,@GoogleDevelopers,"Answer: The output is: [1, NaN, NaN]
Here’s why: Array.map passes three arguments to the callback: the current element, the index, and the whole array. parseInt takes two arguments: the string to parse and the radix (number base). When you write [""1"", ""2"", ""3""].map(parseInt), the index gets passed as the radix.
Fix: Use an arrow function so you only pass the string.
const result = [""1"", ""2"", ""3""].map(str => parseInt(str));
or even better, use Number:
const result = [""1"", ""2"", ""3""].map(Number); // [1, 2, 3]",1
L1QlVr686Bg,What actually prints to the console and why? Go!,5356,@GoogleDevelopers,Hint: Remember that Array.map passes more than one argument into the callback. How many parameters does parseInt expect?,3
L1QlVr686Bg,What actually prints to the console and why? Go!,5356,@CodeCecil,"TLDR; [""1"", ""2"", ""3""].map(parseInt) == [""1"", ""2"", ""3""].map((num, idx) => parseInt(num, idx));

The radix provided is the index of the string in the array being iterated over. So ""2"" with a radix of 1 is NaN because 2 is not a valid integer in a base 1 number system. ""1"" is valid because the radix is set to 0 which causes parseInt to chose the best radix based on the string's value. Since there is not leading whitespace, sign or anything else, it is defaulted to base 10 so that is why ""1"" -> 1",3
L1QlVr686Bg,What actually prints to the console and why? Go!,5356,@siddharth_shankar91,This is because when suppose we use .map(parseInt) the parseInt function recieves two arguments for each element first the string to be converted and index of array element to be used as radix parameter in the above. This causes invalid parsing for non decimal bases. Solution may be to use correct way to map strings to numbers.....like .map( Number) etc...,0
L1QlVr686Bg,What actually prints to the console and why? Go!,5356,@KhanhPham-ix1pu,Did anyone else catch how parseInt behaves unexpectedly in TypeScript due to its base argument? Worth noting that this can lead to some tricky bugs. I wonder if using Number() instead of parseInt would help maintain the expected behavior. Thoughts?,0
L1QlVr686Bg,What actually prints to the console and why? Go!,5356,@danieljorgensen8979,You’re sending the wrong base to ParseInt 😉,2
L1QlVr686Bg,What actually prints to the console and why? Go!,5356,@abhishekdesai5355,"Well, parseInt Take 2nd argument as base value which we are passing as index of the number.
So, every ans would be base of 0, 1 2.",0
L1QlVr686Bg,What actually prints to the console and why? Go!,5356,@massnagaraju,Super❤❤❤,0
L1QlVr686Bg,What actually prints to the console and why? Go!,5356,@АлександрЕсин-л2щ,Hi Google's ❤🎉👋,0
L1QlVr686Bg,What actually prints to the console and why? Go!,5356,@akshayV701,"It supposed to work unfortunately it output 1, NaN, NaN .  Problem here it Passes index as radix to parse int.
Solution:
const results = [""1"", ""2"", ""3""].map(x => parseInt(x));",1
UCJfJWct8jN1RpCuVWk3zHTA,695000,54580089,105,0,H0FmLGhF8fc,Gamers Are Changing and I Have Proof,234618,"Go to https://boot.dev/?promo=DARYLTALKSGAMES and use my code  DARYLTALKSGAMES  to get 25% off your first payment for boot.dev!

What do you think is causing the strategy motivation decline? Also, P.S, at about 1:21 I had to replace a copyrighted song with YT's song replacing tool which is why my voice sounds so muffled there. Only about a minute long. Sorry about that! Thanks Square Enix. No more Octopath music in the future lmao.",68
UCJfJWct8jN1RpCuVWk3zHTA,695000,54580089,105,0,H0FmLGhF8fc,Gamers Are Changing and I Have Proof,234618,"Another encouraging sign that this trend is reversing: Chess. The past 5 years have seen the biggest increase in new chess players in history (driven largely by younger people). It's probably not a coincidence that this has coincided with the rise in popularity of blitz (<5 min) and bullet (<1 min) varieties, where the feedback is very quick.",2237
UCJfJWct8jN1RpCuVWk3zHTA,695000,54580089,105,0,H0FmLGhF8fc,Gamers Are Changing and I Have Proof,234618,"Yeah, this survey feels like a malformed version of Myers-Briggs for gamers. The first time I took it, it said I was a Skirmisher/Gladiator which is wild, ’cause I rarely enjoy competitive PvP and get bored of it after a few sessions. I actually had to retake the whole test just to get something closer to what I really am: an Architect/Bard. That’s a huge difference. Half the questions are so loaded they basically push you into one box even if you like a mix of things. If you enjoy both blowing stuff up and thinking strategically, it just skews the results. It’s way too rigid for how people actually play most of us switch moods, experiment, and like a bit of everything.",532
UCJfJWct8jN1RpCuVWk3zHTA,695000,54580089,105,0,H0FmLGhF8fc,Gamers Are Changing and I Have Proof,234618,"I am very late to the gaming party. I don't exactly fit the demographic of a ""typical"" gamer (I am a 55 year-old woman). Why did I start at the age of 53? I had a cancer scare. During my journey of tests, bioassays, and more tests, Link (TotK) was the only one who was able to keep me away from the stress vortex. I tried reading (my usual go-to) but inevitably, my brain would wander and I would be in that stress vortex again. Gaming forced my brain to keep engaged at the task at hand. Thankfully, my kids had the Switch and that was how I was able to play TotK.

As it turned out, it was just a ""scare"" and not cancer itself. I am still playing games. I'm doing BotW now and I don't understand why so many people prefer this game over TotK. Maybe I am a ""strategist."" In TotK, I was able to build whatever contraption to aid me in whatever situation. In BotW, I feel like I have to brute force my way through a lot of situations. And because I suck at combat, Link dies a lot more in this game. 😅 He always needs a pocketful of fairies.

Anyway, I don't know that I've played enough games to be able to label myself as a certain ""type"" of gamer. Or if I can even label myself as a ""gamer."" BotW is my 4th game. I am the most casual of casual gamers.",944
